DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW_TuneCP5_13TeV-pythia8,BTV,2,#N/A,16,7.85,75.8,0.00%,75.8,211.082,1.0,1.0,1.0,1.0,0,11.4,3.578,0.0,16.0,3.578,0.0,5.2,3.578,,4.6,3.578,TT_resonances_dilep,,,1
WZ_TuneCP5_13TeV-pythia8,BTV,2,#N/A,8,3.89,27.6,0.00%,27.6,289.855,1.0,1.0,1.0,1.0,0,5.7,4.913,0.0,8.0,4.913,0.0,2.6,4.913,,2.3,4.913,TT_resonances_dilep,,,1
ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8,HIG,2,#N/A,59,56.43,0.33,0.07%,0.3309178285,178291.996,1.0,1.0,1.0,1.0,0,42.0,3021.898,0.0,59.0,3021.898,0.0,19.0,3021.898,,17.0,3021.898,Diboson_resonances_WZ_3lnu,,,1
ZZTo4L_TuneCP5_13TeV-amcatnloFXFX-pythia8,SMP,2,#N/A,27,26.37,0.16,14.87%,0.3241626806,83291.513,1.0,1.0,1.0,1.0,0,19.2,1411.721,0.0,27.0,1411.721,0.0,8.7,1411.721,,7.8,1411.721,Diboson_resonances_WZ_3lnu,,,1
ZZTo4L_TuneCP5_13TeV_powheg_pythia8,HIG,2,#N/A,107,105.30,0.16,0.51%,0.1633002446,655234.781,1.0,1.0,1.0,1.0,0,76.2,11105.674,0.0,107.0,11105.674,0.0,34.5,11105.674,,30.8,11105.674,Diboson_resonances_WZ_3lnu,,,1
WWJJToLNuLNu_EWK_noTop_13TeV-madgraph-pythia8,HIG,2,#N/A,,#N/A,0.08875,,,,,,,,,,,,,,,,,,,,HWW,,,
WWJJToLNuLNu_QCD_noTop_13TeV-madgraph-pythia8,HIG,2,#N/A,,#N/A,2.16,,,,,,,,,,,,,,,,,,,,HWW,,,
More TOP,,2,#N/A,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,NOT NEEDED HERE,,,1
ST_tW_top_5f_NoFullyHadronicDecays_TuneCP5_13TeV-powheg-pythia8,TOP,6,85001.00,10,#N/A,34.91,0.24%,35.24971833,283.690,2.0,1.2,2.1,2.2,10,7.1,11.563,10.0,10.0,9.617,10.0,3.2,19.739,10.0,2.9,21.496,TT_resonances_dilep,,,6
ST_tW_antitop_5f_NoFullyHadronicDecays_TuneCP5_13TeV-powheg-pythia8,TOP,6,85001.00,10,6.91,34.97,0.23%,35.2896002,283.370,2.0,1.2,2.1,2.2,10,7.1,11.550,10.0,10.0,9.606,10.0,3.2,19.717,10.0,2.9,21.472,TT_resonances_dilep,,,6
tZq_ll_4f_ckm_NLO_TuneCP5_13TeV-amcatnlo-pythia8,TOP,6,85001.00,14,0.00,#N/A,#N/A,#N/A,#N/A,2.0,1.2,2.1,0.5,14,10.0,#N/A,14.0,14.0,#N/A,14.0,4.5,#N/A,,4.0,#N/A,NOT NEEDED HERE,,,6
"Additional PAG main samples, please add below",,2,#N/A,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,
Backgrounds for B2G,,2,#N/A,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,
